Year,Region,Employment rate of people with mental illness,Employment rate of population ,Row Year
2006,East Midlands ,30,74,2006
2006,East Midlands ,29,75,2006
2006,Eastern ,30,75,2006
2006,Eastern ,31,75,2006
2006,England,27,47,2006
2006,England,29,55,2006
2006,England,33,80,2006
2006,England,31,80,2006
2006,England,30,81,2006
2006,England,30,83,2006
2006,England,30,83,2006
2006,England,28,80,2006
2006,England,21,70,2006
2006,England,13,45,2006
2006,England,23,47,2006
2006,England,36,71,2006
2006,England,31,80,2006
2006,England,27,80,2006
2006,England,35,81,2006
2006,England,35,83,2006
2006,England,34,84,2006
2006,England,25,80,2006
2006,England,25,70,2006
2006,England,14,69,2006
2006,England,26,73,2006
2006,England,28,73,2006
2006,London ,25,68,2006
2006,London ,25,68,2006
2006,Merseyside ,13,68,2006
2006,Merseyside ,13,66,2006
2006,North East ,18,69,2006
2006,North East ,25,69,2006
2006,North West ,20,72,2006
2006,North West ,22,73,2006
2006,South East ,36,77,2006
2006,South East ,38,77,2006
2006,South West ,33,76,2006
2006,South West ,34,76,2006
2006,West Midlands ,23,71,2006
2006,West Midlands ,26,72,2006
2006,Yorkshire,23,72,2006
2006,Yorkshire,26,71,2006
2007,East Midlands ,28,73,2007
2007,East Midlands ,27,74,2007
2007,East Midlands ,26,73,2007
2007,East Midlands ,27,73,2007
2007,Eastern ,30,76,2007
2007,Eastern ,31,75,2007
2007,Eastern ,31,75,2007
2007,Eastern ,33,75,2007
2007,England,28,46,2007
2007,England,35,69,2007
2007,England,34,79,2007
2007,England,35,81,2007
2007,England,28,81,2007
2007,England,32,83,2007
2007,England,28,83,2007
2007,England,28,80,2007
2007,England,20,70,2007
2007,England,12,46,2007
2007,England,27,45,2007
2007,England,35,70,2007
2007,England,34,80,2007
2007,England,29,80,2007
2007,England,29,80,2007
2007,England,30,83,2007
2007,England,26,82,2007
2007,England,34,80,2007
2007,England,20,69,2007
2007,England,10,45,2007
2007,England,27,41,2007
2007,England,27,67,2007
2007,England,37,79,2007
2007,England,32,80,2007
2007,England,25,80,2007
2007,England,29,83,2007
2007,England,27,82,2007
2007,England,32,80,2007
2007,England,19,69,2007
2007,England,12,45,2007
2007,England,26,42,2007
2007,England,31,67,2007
2007,England,33,79,2007
2007,England,30,89,2007
2007,England,25,80,2007
2007,England,30,83,2007
2007,England,26,82,2007
2007,England,31,80,2007
2007,England,25,69,2007
2007,England,12,44,2007
2007,England,27,73,2007
2007,England,27,73,2007
2007,England,26,72,2007
2007,England,26,72,2007
2007,England,26,67,2007
2007,England,28,79,2007
2007,England,27,66,2007
2007,England,27,79,2007
2007,England,27,66,2007
2007,England,26,78,2007
2007,England,26,66,2007
2007,England,27,78,2007
2007,London ,21,69,2007
2007,London ,20,69,2007
2007,London ,21,68,2007
2007,London ,24,69,2007
2007,Merseyside ,16,65,2007
2007,Merseyside ,19,63,2007
2007,Merseyside ,9,66,2007
2007,Merseyside ,18,67,2007
2007,North East ,18,69,2007
2007,North East ,21,70,2007
2007,North East ,18,69,2007
2007,North East ,15,68,2007
2007,North West ,24,72,2007
2007,North West ,24,72,2007
2007,North West ,20,71,2007
2007,North West ,20,71,2007
2007,South East ,41,77,2007
2007,South East ,42,77,2007
2007,South East ,38,76,2007
2007,South East ,34,76,2007
2007,South West ,31,77,2007
2007,South West ,30,76,2007
2007,South West ,35,75,2007
2007,South West ,35,75,2007
2007,West Midlands ,22,71,2007
2007,West Midlands ,23,71,2007
2007,West Midlands ,26,70,2007
2007,West Midlands ,26,70,2007
2007,Yorkshire,23,72,2007
2007,Yorkshire,24,71,2007
2007,Yorkshire,21,70,2007
2007,Yorkshire,21,70,2007
2008,East Midlands ,33,74,2008
2008,East Midlands ,32,74,2008
2008,East Midlands ,30,72,2008
2008,East Midlands ,32,73,2008
2008,Eastern ,31,75,2008
2008,Eastern ,32,75,2008
2008,Eastern ,30,75,2008
2008,Eastern ,30,75,2008
2008,England,20,43,2008
2008,England,38,67,2008
2008,England,35,79,2008
2008,England,31,81,2008
2008,England,30,81,2008
2008,England,25,82,2008
2008,England,28,83,2008
2008,England,27,80,2008
2008,England,23,71,2008
2008,England,16,46,2008
2008,England,23,45,2008
2008,England,37,68,2008
2008,England,35,79,2008
2008,England,31,80,2008
2008,England,27,80,2008
2008,England,29,82,2008
2008,England,30,83,2008
2008,England,27,80,2008
2008,England,24,70,2008
2008,England,16,46,2008
2008,England,25,43,2008
2008,England,37,66,2008
2008,England,38,80,2008
2008,England,32,80,2008
2008,England,29,81,2008
2008,England,27,82,2008
2008,England,25,83,2008
2008,England,29,80,2008
2008,England,22,71,2008
2008,England,15,46,2008
2008,England,20,44,2008
2008,England,34,66,2008
2008,England,35,80,2008
2008,England,34,80,2008
2008,England,25,80,2008
2008,England,32,83,2008
2008,England,27,83,2008
2008,England,30,81,2008
2008,England,21,70,2008
2008,England,15,46,2008
2008,England,27,72,2008
2008,England,28,72,2008
2008,England,27,72,2008
2008,England,28,73,2008
2008,England,27,66,2008
2008,England,28,78,2008
2008,England,28,66,2008
2008,England,28,79,2008
2008,England,27,66,2008
2008,England,27,78,2008
2008,England,25,66,2008
2008,England,28,79,2008
2008,London ,23,70,2008
2008,London ,20,70,2008
2008,London ,18,70,2008
2008,London ,22,70,2008
2008,Merseyside ,19,64,2008
2008,Merseyside ,16,64,2008
2008,Merseyside ,17,64,2008
2008,Merseyside ,14,63,2008
2008,North East ,19,68,2008
2008,North East ,22,68,2008
2008,North East ,19,68,2008
2008,North East ,19,68,2008
2008,North West ,23,70,2008
2008,North West ,22,71,2008
2008,North West ,22,71,2008
2008,North West ,24,71,2008
2008,South East ,34,76,2008
2008,South East ,36,77,2008
2008,South East ,40,77,2008
2008,South East ,41,77,2008
2008,South West ,32,76,2008
2008,South West ,36,76,2008
2008,South West ,33,76,2008
2008,South West ,32,76,2008
