Year,Quarter,Region,Age,Gender,Employment rate of people with mental illness,Employment rate of population ,Composite Year
2006,4,East Midlands ,All,Any,30,74,'06
2006,3,East Midlands ,All,Any,29,75,'06
2006,4,Eastern ,All,Any,30,75,'06
2006,3,Eastern ,All,Any,31,75,'06
2006,4,England,16 to 19,Any,27,47,'06
2006,4,England,20 to 24,Any,29,55,'06
2006,4,England,25 to 29,Any,33,80,'06
2006,4,England,30 to 34,Any,31,80,'06
2006,4,England,35 to 39,Any,30,81,'06
2006,4,England,40 to 44,Any,30,83,'06
2006,4,England,45 to 49,Any,30,83,'06
2006,4,England,50 to 54,Any,28,80,'06
2006,4,England,55 to 59,Any,21,70,'06
2006,4,England,60 to 64,Any,13,45,'06
2006,3,England,16 to 19,Any,23,47,'06
2006,3,England,20 to 24,Any,36,71,'06
2006,3,England,25 to 29,Any,31,80,'06
2006,3,England,30 to 34,Any,27,80,'06
2006,3,England,35 to 39,Any,35,81,'06
2006,3,England,40 to 44,Any,35,83,'06
2006,3,England,45 to 49,Any,34,84,'06
2006,3,England,50 to 54,Any,25,80,'06
2006,3,England,55 to 59,Any,25,70,'06
2006,3,England,60 to 64,Any,14,69,'06
2006,4,England,All,Any,26,73,'06
2006,3,England,All,Any,28,73,'06
2006,4,London ,All,Any,25,68,'06
2006,3,London ,All,Any,25,68,'06
2006,4,Merseyside ,All,Any,13,68,'06
2006,3,Merseyside ,All,Any,13,66,'06
2006,4,North East ,All,Any,18,69,'06
2006,3,North East ,All,Any,25,69,'06
2006,4,North West ,All,Any,20,72,'06
2006,3,North West ,All,Any,22,73,'06
2006,4,South East ,All,Any,36,77,'06
2006,3,South East ,All,Any,38,77,'06
2006,4,South West ,All,Any,33,76,'06
2006,3,South West ,All,Any,34,76,'06
2006,4,West Midlands ,All,Any,23,71,'06
2006,3,West Midlands ,All,Any,26,72,'06
2006,4,Yorkshire,All,Any,23,72,'06
2006,3,Yorkshire,All,Any,26,71,'06
2007,4,East Midlands ,All,Any,28,73,'07
2007,3,East Midlands ,All,Any,27,74,'07
2007,2,East Midlands ,All,Any,26,73,'07
2007,1,East Midlands ,All,Any,27,73,'07
2007,4,Eastern ,All,Any,30,76,'07
2007,3,Eastern ,All,Any,31,75,'07
2007,2,Eastern ,All,Any,31,75,'07
2007,1,Eastern ,All,Any,33,75,'07
2007,4,England,16 to 19,Any,28,46,'07
2007,4,England,20 to 24,Any,35,69,'07
2007,4,England,25 to 29,Any,34,79,'07
2007,4,England,30 to 34,Any,35,81,'07
2007,4,England,35 to 39,Any,28,81,'07
2007,4,England,40 to 44,Any,32,83,'07
2007,4,England,45 to 49,Any,28,83,'07
2007,4,England,50 to 54,Any,28,80,'07
2007,4,England,55 to 59,Any,20,70,'07
2007,4,England,60 to 64,Any,12,46,'07
2007,3,England,16 to 19,Any,27,45,'07
2007,3,England,20 to 24,Any,35,70,'07
2007,3,England,25 to 29,Any,34,80,'07
2007,3,England,30 to 34,Any,29,80,'07
2007,3,England,35 to 39,Any,29,80,'07
2007,3,England,40 to 44,Any,30,83,'07
2007,3,England,45 to 49,Any,26,82,'07
2007,3,England,50 to 54,Any,34,80,'07
2007,3,England,55 to 59,Any,20,69,'07
2007,3,England,60 to 64,Any,10,45,'07
2007,2,England,16 to 19,Any,27,41,'07
2007,2,England,20 to 24,Any,27,67,'07
2007,2,England,25 to 29,Any,37,79,'07
2007,2,England,30 to 34,Any,32,80,'07
